AGNO;RBD;DGV_RBD;NOM_RBD;COD_REG_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPE;RURAL_RBD;COD_ENSE;APR_HOM_01;APR_HOM_02;APR_HOM_03;APR_HOM_04;APR_HOM_05;APR_HOM_06;APR_HOM_07;APR_HOM_08;APR_HOM_TO;APR_MUJ_01;APR_MUJ_02;APR_MUJ_03;APR_MUJ_04;APR_MUJ_05;APR_MUJ_06;APR_MUJ_07;APR_MUJ_08;APR_MUJ_TO;REP_HOM_01;REP_HOM_02;REP_HOM_03;REP_HOM_04;REP_HOM_05;REP_HOM_06;REP_HOM_07;REP_HOM_08;REP_HOM_TO;REP_MUJ_01;REP_MUJ_02;REP_MUJ_03;REP_MUJ_04;REP_MUJ_05;REP_MUJ_06;REP_MUJ_07;REP_MUJ_08;REP_MUJ_TO;RET_HOM_01;RET_HOM_02;RET_HOM_03;RET_HOM_04;RET_HOM_05;RET_HOM_06;RET_HOM_07;RET_HOM_08;RET_HOM_TO;RET_MUJ_01;RET_MUJ_02;RET_MUJ_03;RET_MUJ_04;RET_MUJ_05;RET_MUJ_06;RET_MUJ_07;RET_MUJ_08;RET_MUJ_TO;TRA_HOM_01;TRA_HOM_02;TRA_HOM_03;TRA_HOM_04;TRA_HOM_06;TRA_HOM_05;TRA_HOM_07;TRA_HOM_08;TRA_HOM_TO;TRA_MUJ_01;TRA_MUJ_02;TRA_MUJ_03;TRA_MUJ_04;TRA_MUJ_05;TRA_MUJ_06;TRA_MUJ_07;TRA_MUJ_08;TRA_MUJ_TO
2010;12;4;ESCUELA GRAL JOSE MIGUEL CARRERA;15;15101;ARICA;2;1;110;7;13;15;29;25;21;23;31;164;25;14;10;16;25;35;28;22;175;1;1;1;0;1;2;1;0;7;0;0;0;0;0;2;1;0;3;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;3;1;0;0;2;3;1;3;1;11;4;1;1;3;1;0;0;0;10
2010;13;2;ESCUELA MANUEL RODRIGUEZ ERDOYZA;15;15101;ARICA;2;1;110;6;8;14;15;15;19;14;20;111;7;15;13;14;18;12;25;14;118;0;0;2;1;0;1;0;0;4;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;0;4;0;0;0;0;0;0;0;0;0;0;1;1;1;2;1;0;1;7;0;0;0;1;0;0;0;1;2
2010;14;0;ESCUELA ROMULO J. PENA MATURANA;15;15101;ARICA;2;1;110;14;14;10;16;8;14;18;11;105;7;11;9;7;16;5;13;6;74;0;0;0;2;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;1;2;0;0;0;6;1;4;2;0;0;0;1;0;8
2010;15;9;LICEO ARTISTICO DR. JUAN NOE CREVANI;15;15101;ARICA;2;1;110;10;14;10;14;14;18;23;21;124;1;10;7;9;14;11;17;17;86;2;0;1;2;0;0;1;3;9;0;2;0;1;0;0;2;0;5;0;0;1;0;1;1;0;2;5;1;0;1;0;0;1;1;1;5;1;1;4;0;1;1;3;2;13;0;0;0;1;0;0;3;1;5
2010;15;9;LICEO ARTISTICO DR. JUAN NOE CREVANI;15;15101;ARICA;2;1;310;19;25;30;15;0;0;0;0;89;8;12;18;11;0;0;0;0;49;8;4;2;1;0;0;0;0;15;3;4;0;2;0;0;0;0;9;1;1;5;1;0;0;0;0;8;3;2;1;0;0;0;0;0;6;1;1;1;0;0;0;0;0;3;2;2;0;1;0;0;0;0;5
2010;16;7;ESCUELA REGIMIENTO RANCAGUA;15;15101;ARICA;2;1;110;6;17;11;13;19;22;29;29;146;3;2;3;5;4;9;9;8;43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;3;0;0;0;2;0;6;0;0;0;0;0;0;1;0;1
2010;17;5;ESCUELA SUBTTE. LUIS CRUZ MARTINEZ;15;15101;ARICA;2;1;110;14;14;14;16;14;12;9;18;111;13;5;5;8;14;13;9;12;79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;3;1;0;0;1;1;1;0;1;5;0;0;0;0;0;1;1;1;3
2010;18;3;ESC. COMTE. JUAN JOSE SAN MARTIN;15;15101;ARICA;2;1;110;13;25;19;24;19;16;30;32;178;15;29;14;27;17;27;23;26;178;2;0;0;0;0;2;0;0;4;3;0;0;0;0;0;0;0;3;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;1;2;1;1;2;3;0;0;0;1;8;1;1;1;0;0;0;1;2;6
2010;19;1;ESC. HUMBERTO VALENZUELA GARCIA;15;15101;ARICA;2;1;110;20;17;21;28;19;22;18;29;174;21;26;16;18;16;25;13;16;151;1;0;1;2;0;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;1;0;0;0;0;0;0;0;1;0;3;0;1;1;2;1;2;10;2;0;1;0;1;0;1;1;6
2010;20;5;ESCUELA TUCAPEL;15;15101;ARICA;2;1;110;20;25;22;36;24;30;20;29;206;18;23;23;31;15;31;14;20;175;0;0;0;0;1;1;3;1;6;0;0;1;0;0;1;0;1;3;0;1;1;0;0;0;0;0;2;0;0;0;1;0;0;1;2;4;1;1;3;1;1;2;2;0;11;2;0;0;0;1;1;1;0;5
2010;21;3;ESCUELA LINCOYAN;15;15101;ARICA;2;1;110;6;11;7;7;9;13;12;10;75;6;5;2;4;7;3;5;12;44;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;1;3;1;1;0;0;0;0;0;2;4;3;0;3;3;2;3;2;6;22;1;3;1;0;0;1;1;0;7
2010;22;1;ESCUELA GABRIELA MISTRAL;15;15101;ARICA;2;1;110;34;49;46;48;61;43;44;67;392;25;44;42;51;41;44;55;76;378;0;1;1;1;5;3;3;0;14;1;0;1;0;0;0;2;1;5;1;0;0;0;0;1;0;2;4;1;1;0;0;1;0;3;1;7;5;4;2;1;2;3;3;2;22;6;2;2;2;1;2;4;0;19
2010;25;6;ESCUELA CENTENARIO;15;15101;ARICA;2;1;110;23;18;28;17;19;24;24;36;189;24;27;18;26;31;35;9;30;200;3;0;0;1;0;0;1;0;5;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;1;1;5;0;0;0;1;2;1;0;0;4;2;2;3;1;4;0;1;2;15;2;0;1;3;0;2;1;1;10
2010;26;4;ESCUELA REPUBLICA DE ARGENTINA;15;15101;ARICA;2;1;110;9;14;13;14;8;15;17;15;105;9;12;8;13;7;15;13;12;89;1;0;0;2;0;0;0;0;3;1;0;0;0;0;1;0;0;2;0;1;1;0;0;0;1;0;3;0;0;1;1;0;0;0;0;2;2;0;0;0;1;1;1;1;6;1;0;0;0;0;2;2;0;5
2010;27;2;ESCUELA ESMERALDA;15;15101;ARICA;2;1;110;13;13;9;12;14;17;14;15;107;8;1;5;6;8;6;6;13;53;2;1;1;0;0;0;0;0;4;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;2;0;0;1;0;1;1;5;0;3;1;1;1;0;1;1;8
2010;28;0;ESCUELA RICARDO SILVA ARRIAGADA;15;15101;ARICA;2;1;110;9;15;11;19;24;16;33;33;160;18;10;14;13;19;16;25;27;142;0;0;0;0;0;1;0;0;1;0;1;1;0;0;0;0;0;2;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;1;1;0;1;2;3;1;0;1;9;3;0;1;0;0;1;1;0;6
2010;28;0;ESCUELA RICARDO SILVA ARRIAGADA;15;15101;ARICA;2;1;165;5;2;30;0;0;0;0;0;37;7;5;13;0;0;0;0;0;25;2;10;9;0;0;0;0;0;21;3;6;8;0;0;0;0;0;17;2;1;12;0;0;0;0;0;15;3;0;5;0;0;0;0;0;8;0;0;7;0;0;0;0;0;7;0;0;2;0;0;0;0;0;2
2010;28;0;ESCUELA RICARDO SILVA ARRIAGADA;15;15101;ARICA;2;1;363;13;0;21;0;0;0;0;0;34;17;0;38;0;0;0;0;0;55;32;0;32;0;0;0;0;0;64;21;0;13;0;0;0;0;0;34;10;0;19;0;0;0;0;0;29;9;0;15;0;0;0;0;0;24;9;0;4;0;0;0;0;0;13;1;0;4;0;0;0;0;0;5
2010;29;9;ESCUELA AMERICA;15;15101;ARICA;2;1;110;27;23;22;23;28;31;28;31;213;18;25;11;24;22;23;27;42;192;1;2;1;3;2;2;4;0;15;0;0;0;1;0;4;2;0;7;1;1;1;1;0;0;2;0;6;1;0;0;0;0;1;1;0;3;3;1;1;2;2;1;3;1;14;0;0;0;1;2;1;1;1;6
2010;31;0;ESCUELA DARIO SALAS DIAZ;15;15101;ARICA;2;2;110;18;12;14;25;13;14;13;14;123;14;17;22;17;11;20;13;21;135;3;3;2;0;1;0;2;0;11;1;0;2;0;1;0;1;0;5;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;2;0;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0
2010;32;9;LICEO AGRICOLA JOSE ABELARDO NUNEZ M.;15;15101;ARICA;2;2;110;17;20;14;18;8;11;11;14;113;16;10;15;12;12;13;12;15;105;2;1;0;1;2;1;3;2;12;1;0;2;0;1;2;2;0;8;2;0;0;1;1;0;0;0;4;0;0;0;1;0;1;1;0;3;1;1;1;0;1;1;0;1;6;0;1;0;0;1;1;1;3;7
2010;32;9;LICEO AGRICOLA JOSE ABELARDO NUNEZ M.;15;15101;ARICA;2;2;610;0;0;2;3;0;0;0;0;5;0;0;12;10;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;3;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
2010;32;9;LICEO AGRICOLA JOSE ABELARDO NUNEZ M.;15;15101;ARICA;2;2;710;13;8;11;10;0;0;0;0;42;11;10;5;5;0;0;0;0;31;2;0;0;3;0;0;0;0;5;0;0;2;0;0;0;0;0;2;0;0;0;1;0;0;0;0;1;1;2;0;0;0;0;0;0;3;3;2;1;0;0;0;0;0;6;0;2;0;0;0;0;0;0;2
2010;33;7;ESCUELA CARLOS CONDELL DE LA HAZA;15;15101;ARICA;2;2;110;10;7;12;9;6;10;13;14;81;10;10;8;7;11;7;10;9;72;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;2;0;1;0;0;0;0;0;0;1;1;1;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0
