RBD;DGV_RBD;NOM_RBD;LET_RBD;NUM_RBD;COD_REG_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPE;RURAL_RBD;COD_ENSE;APR_HOM_01;APR_HOM_02;APR_HOM_03;APR_HOM_04;APR_HOM_05;APR_HOM_06;APR_HOM_07;APR_HOM_08;APR_HOM_TO;APR_MUJ_01;APR_MUJ_02;APR_MUJ_03;APR_MUJ_04;APR_MUJ_05;APR_MUJ_06;APR_MUJ_07;APR_MUJ_08;APR_MUJ_TO;REP_HOM_01;REP_HOM_02;REP_HOM_03;REP_HOM_04;REP_HOM_05;REP_HOM_06;REP_HOM_07;REP_HOM_08;REP_HOM_TO;REP_MUJ_01;REP_MUJ_02;REP_MUJ_03;REP_MUJ_04;REP_MUJ_05;REP_MUJ_06;REP_MUJ_07;REP_MUJ_08;REP_MUJ_TO;RET_HOM_01;RET_HOM_02;RET_HOM_03;RET_HOM_04;RET_HOM_05;RET_HOM_06;RET_HOM_07;RET_HOM_08;RET_HOM_TO;RET_MUJ_01;RET_MUJ_02;RET_MUJ_03;RET_MUJ_04;RET_MUJ_05;RET_MUJ_06;RET_MUJ_07;RET_MUJ_08;RET_MUJ_TO;TRA_HOM_01;TRA_HOM_02;TRA_HOM_03;TRA_HOM_04;TRA_HOM_05;TRA_HOM_06;TRA_HOM_07;TRA_HOM_08;TRA_HOM_TO;TRA_MUJ_01;TRA_MUJ_02;TRA_MUJ_03;TRA_MUJ_04;TRA_MUJ_05;TRA_MUJ_06;TRA_MUJ_07;TRA_MUJ_08;TRA_MUJ_TO;AGNO
15;9;LICEO ARTISTICO DR.  JUAN NOE CREVANI;D;13;1;1201;ARICA;2;0;110;14;16;17;21;15;19;35;15;152;17;11;13;15;18;20;27;20;141;0;2;2;0;3;0;1;0;8;0;0;3;0;4;1;0;1;9;1;0;0;0;1;1;2;2;7;2;0;0;0;0;1;0;2;5;1;2;0;0;3;1;1;1;9;2;2;1;0;4;3;1;1;14;2006
15;9;LICEO ARTISTICO DR.  JUAN NOE CREVANI;D;13;1;1201;ARICA;2;0;310;20;18;22;20;0;0;0;0;80;19;11;10;14;0;0;0;0;54;2;5;6;1;0;0;0;0;14;4;4;1;1;0;0;0;0;10;0;4;3;0;0;0;0;0;7;1;4;1;0;0;0;0;0;6;1;0;1;1;0;0;0;0;3;0;2;2;1;0;0;0;0;5;2006
16;7;ESCUELA REGIMIENTO RANCAGUA;D;14;1;1201;ARICA;2;0;110;19;20;25;25;33;45;51;43;261;9;7;12;10;18;16;25;17;114;0;2;0;1;1;1;0;0;5;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;3;0;0;0;1;0;0;0;0;1;3;5;3;0;0;3;2;1;17;0;0;1;0;2;0;2;0;5;2006
17;5;ESCUELA  SUBTTE. LUIS CRUZ MARTINEZ;D;16;1;1201;ARICA;2;0;110;13;18;9;19;21;15;19;18;132;18;17;16;16;20;27;20;25;159;0;1;2;1;2;0;2;0;8;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;2;1;5;1;3;0;0;0;0;1;1;6;1;2;1;0;0;0;0;1;5;2;2;0;0;1;0;0;0;5;2006
18;3;ESCUELA CDMTE. JUAN JOSE SAN MARTIN;D;17;1;1201;ARICA;2;0;110;17;13;33;34;28;35;26;36;222;22;23;29;31;38;31;41;28;243;3;0;0;2;2;0;2;0;9;1;0;0;2;1;0;0;0;4;2;0;0;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0;2;0;3;2;1;0;1;1;10;0;1;2;1;1;0;0;0;5;2006
19;1;ESCUELA  HUMBERTO VALENZUELA GARCIA;D;18;1;1201;ARICA;2;0;110;31;19;21;32;34;32;37;30;236;22;24;18;22;29;25;31;30;201;0;1;0;0;1;0;0;0;2;0;0;1;0;0;0;4;1;6;3;0;0;0;0;0;0;0;3;1;1;0;0;0;1;0;0;3;1;0;4;0;1;1;0;0;7;2;2;0;0;1;1;0;1;7;2006
20;5;ESCUELA  TUCAPEL;D;21;1;1201;ARICA;2;0;110;21;37;24;26;36;34;46;48;272;17;25;17;22;33;43;24;53;234;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;3;0;3;1;1;0;1;0;1;0;0;4;2;0;0;0;0;1;1;0;4;2;0;2;1;0;0;1;0;6;0;1;0;0;0;1;1;2;5;2006
21;3;ESCUELA  LINCOYAN;D;23;1;1201;ARICA;2;0;110;9;11;14;6;9;7;12;12;80;5;6;7;12;6;11;10;7;64;1;2;1;0;2;1;1;0;8;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;4;1;1;0;1;1;2;0;10;1;0;0;1;0;1;1;0;4;2006
22;1;ESCUELA GABRIELA MISTRAL;D;24;1;1201;ARICA;2;0;110;62;49;54;70;63;59;64;58;479;37;48;54;74;70;62;51;62;458;1;1;2;1;1;2;4;0;12;0;1;1;1;1;0;0;0;4;3;0;0;1;0;2;3;2;11;1;2;0;0;0;0;1;0;4;3;3;4;2;3;2;4;2;23;7;2;1;2;2;2;0;0;16;2006
25;6;ESCUELA  CENTENARIO;D;91;1;1201;ARICA;2;0;110;29;26;32;42;39;24;24;42;258;36;41;20;40;28;49;37;40;291;1;1;0;2;0;2;1;0;7;0;1;1;1;0;0;0;0;3;3;1;0;0;1;1;1;1;8;1;1;1;0;1;1;1;2;8;4;3;1;0;1;2;0;1;12;6;3;6;3;1;2;4;2;27;2006
