AGNO;RBD;DV_RBD;NOM_RBD;COD_REG_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPE;RURAL_RBD;COD_ENSE;APR_HOM_01;APR_HOM_02;APR_HOM_03;APR_HOM_04;APR_HOM_05;APR_HOM_06;APR_HOM_07;APR_HOM_08;APR_HOM_TO;APR_MUJ_01;APR_MUJ_02;APR_MUJ_03;APR_MUJ_04;APR_MUJ_05;APR_MUJ_06;APR_MUJ_07;APR_MUJ_08;APR_MUJ_TO;REP_HOM_01;REP_HOM_02;REP_HOM_03;REP_HOM_04;REP_HOM_05;REP_HOM_06;REP_HOM_07;REP_HOM_08;REP_HOM_TO;REP_MUJ_01;REP_MUJ_02;REP_MUJ_03;REP_MUJ_04;REP_MUJ_05;REP_MUJ_06;REP_MUJ_07;REP_MUJ_08;REP_MUJ_TO;RET_HOM_01;RET_HOM_02;RET_HOM_03;RET_HOM_04;RET_HOM_05;RET_HOM_06;RET_HOM_07;RET_HOM_08;RET_HOM_TO;RET_MUJ_01;RET_MUJ_02;RET_MUJ_03;RET_MUJ_04;RET_MUJ_05;RET_MUJ_06;RET_MUJ_07;RET_MUJ_08;RET_MUJ_TO;TRA_HOM_01;TRA_HOM_02;TRA_HOM_03;TRA_HOM_04;TRA_HOM_05;TRA_HOM_06;TRA_HOM_07;TRA_HOM_08;TRA_HOM_TO;TRA_MUJ_01;TRA_MUJ_02;TRA_MUJ_03;TRA_MUJ_04;TRA_MUJ_05;TRA_MUJ_06;TRA_MUJ_07;TRA_MUJ_08;TRA_MUJ_TO;SI_HOM_01;SI_HOM_02;SI_HOM_03;SI_HOM_04;SI_HOM_05;SI_HOM_06;SI_HOM_07;SI_HOM_08;SI_HOM_TO;SI_MUJ_01;SI_MUJ_02;SI_MUJ_03;SI_MUJ_04;SI_MUJ_05;SI_MUJ_06;SI_MUJ_07;SI_MUJ_08;SI_MUJ_TO
2012;25247;6;COLEGIO ALICURA;13;13122;PENALOLEN;1;0;110;0;4;0;8;0;18;0;22;52;0;2;0;6;0;7;0;16;31;0;0;0;2;0;4;0;1;7;0;0;0;0;0;1;0;1;2;0;1;0;1;0;19;0;13;34;0;0;0;1;0;6;0;10;17;0;0;0;0;0;2;0;2;4;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2012;25247;6;COLEGIO ALICURA;13;13122;PENALOLEN;1;0;363;12;0;4;0;0;0;0;0;16;7;0;10;0;0;0;0;0;17;7;0;1;0;0;0;0;0;8;3;0;1;0;0;0;0;0;4;8;0;4;0;0;0;0;0;12;4;0;9;0;0;0;0;0;13;2;0;0;0;0;0;0;0;2;1;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2012;25249;2;COLEGIO PARTICULAR TANTAUCO  EL BOSQUE;13;13105;EL BOSQUE;3;0;110;32;40;36;38;43;37;37;24;287;27;35;28;39;25;37;30;23;244;1;1;0;0;2;1;6;1;12;0;1;0;0;0;0;1;0;2;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;2;1;1;1;0;3;0;3;1;10;0;0;0;0;2;1;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2012;25249;2;COLEGIO PARTICULAR TANTAUCO  EL BOSQUE;13;13105;EL BOSQUE;3;0;310;37;39;44;30;0;0;0;0;150;34;27;28;35;0;0;0;0;124;8;6;1;0;0;0;0;0;15;9;1;1;1;0;0;0;0;12;0;0;1;0;0;0;0;0;1;1;0;0;1;0;0;0;0;2;0;2;0;0;0;0;0;0;2;5;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2012;25250;6;COLEGIO POLIV. ALMENDRAL DE LA PINTANA;13;13112;LA PINTANA;3;0;110;0;0;0;0;0;0;0;0;0;77;87;84;85;80;62;64;60;599;0;0;0;0;0;0;0;0;0;1;1;0;1;8;2;4;8;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;1;2;3;5;3;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2012;25250;6;COLEGIO POLIV. ALMENDRAL DE LA PINTANA;13;13112;LA PINTANA;3;0;310;0;0;0;0;0;0;0;0;0;72;65;0;0;0;0;0;0;137;0;0;0;0;0;0;0;0;0;5;2;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2012;25250;6;COLEGIO POLIV. ALMENDRAL DE LA PINTANA;13;13112;LA PINTANA;3;0;410;0;0;0;0;0;0;0;0;0;0;0;15;7;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2012;25250;6;COLEGIO POLIV. ALMENDRAL DE LA PINTANA;13;13112;LA PINTANA;3;0;610;0;0;0;0;0;0;0;0;0;0;0;42;46;0;0;0;0;88;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2012;25255;7;ESCUELA INMACULADA CONCEPCION;13;13301;COLINA;3;0;110;30;30;27;24;21;20;18;13;183;36;51;28;29;35;31;21;13;244;3;4;4;1;4;4;1;0;21;3;3;1;1;4;0;1;0;13;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;4;5;4;3;3;2;1;2;24;1;5;0;3;1;2;1;5;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2012;25256;5;ESCUELA BASICA THE FOREST COLLEGE;13;13105;EL BOSQUE;3;0;110;63;62;71;38;51;46;33;38;402;56;54;44;35;46;38;35;28;336;0;2;0;2;1;1;0;0;6;0;0;0;0;0;2;0;0;2;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;1;4;0;1;0;0;1;0;0;6;3;0;0;0;0;0;2;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2012;25256;5;ESCUELA BASICA THE FOREST COLLEGE;13;13105;EL BOSQUE;3;0;310;29;17;13;14;0;0;0;0;73;31;19;21;13;0;0;0;0;84;1;0;0;0;0;0;0;0;1;4;0;1;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
